,trip_master_id,estimated_dt,mindiff,smoothed,closure_percent,pull_timestamp,yy,mm,dd,DayOfWeek,hh,mi,minute_col,dy
218,7361,139,1342,100,0,2023-01-28 22:22:00,2023,1,28,6,22,22,22:22:00,28
219,7361,280,1344,100,0,2023-01-28 22:24:00,2023,1,28,6,22,24,22:24:00,28
220,7361,282,1348,100,0,2023-01-28 22:28:00,2023,1,28,6,22,28,22:28:00,28
221,7361,60,258,100,0,2023-01-28 04:18:00,2023,1,28,6,4,18,04:18:00,28
222,7361,118,1048,100,0,2023-01-28 17:28:00,2023,1,28,6,17,28,17:28:00,28
223,7361,58,264,100,0,2023-01-28 04:24:00,2023,1,28,6,4,24,04:24:00,28
224,7361,106,770,100,0,2023-01-28 12:50:00,2023,1,28,6,12,50,12:50:00,28
225,7361,92,478,100,0,2023-01-28 07:58:00,2023,1,28,6,7,58,07:58:00,28
226,7361,108,482,100,0,2023-01-28 08:02:00,2023,1,28,6,8,2,08:02:00,28
227,7361,63,268,100,0,2023-01-28 04:28:00,2023,1,28,6,4,28,04:28:00,28
228,7361,280,1052,100,0,2023-01-28 17:32:00,2023,1,28,6,17,32,17:32:00,28
229,7361,98,774,100,0,2023-01-28 12:54:00,2023,1,28,6,12,54,12:54:00,28
230,7361,108,486,100,0,2023-01-28 08:06:00,2023,1,28,6,8,6,08:06:00,28
231,7361,72,778,100,0,2023-01-28 12:58:00,2023,1,28,6,12,58,12:58:00,28
232,7361,280,1054,100,0,2023-01-28 17:34:00,2023,1,28,6,17,34,17:34:00,28
233,7361,285,1056,100,0,2023-01-28 17:36:00,2023,1,28,6,17,36,17:36:00,28
234,7361,95,490,100,0,2023-01-28 08:10:00,2023,1,28,6,8,10,08:10:00,28
235,7361,64,270,100,0,2023-01-28 04:30:00,2023,1,28,6,4,30,04:30:00,28
236,7361,63,272,100,0,2023-01-28 04:32:00,2023,1,28,6,4,32,04:32:00,28
237,7361,68,274,100,0,2023-01-28 04:34:00,2023,1,28,6,4,34,04:34:00,28
238,7361,415,1358,100,0,2023-01-28 22:38:00,2023,1,28,6,22,38,22:38:00,28
239,7361,91,492,100,0,2023-01-28 08:12:00,2023,1,28,6,8,12,08:12:00,28
240,7361,69,276,100,0,2023-01-28 04:36:00,2023,1,28,6,4,36,04:36:00,28
241,7361,534,1362,100,0,2023-01-28 22:42:00,2023,1,28,6,22,42,22:42:00,28
242,7361,109,780,100,0,2023-01-28 13:00:00,2023,1,28,6,13,0,13:00:00,28
243,7361,106,784,100,0,2023-01-28 13:04:00,2023,1,28,6,13,4,13:04:00,28
244,7361,106,786,100,0,2023-01-28 13:06:00,2023,1,28,6,13,6,13:06:00,28
245,7361,117,496,100,0,2023-01-28 08:16:00,2023,1,28,6,8,16,08:16:00,28
246,7361,122,498,100,0,2023-01-28 08:18:00,2023,1,28,6,8,18,08:18:00,28
247,7361,630,1370,100,0,2023-01-28 22:50:00,2023,1,28,6,22,50,22:50:00,28
248,7361,89,1068,100,0,2023-01-28 17:48:00,2023,1,28,6,17,48,17:48:00,28
249,7361,106,788,100,0,2023-01-28 13:08:00,2023,1,28,6,13,8,13:08:00,28
